engine,samples,clean_accuracy,baseline_accuracy,generated_accuracy,attack_success_rate,clean_cer,baseline_cer,generated_cer,clean_wer,baseline_wer,generated_wer,generated_cer_delta,generated_wer_delta,clean_accuracy_pct,baseline_accuracy_pct,generated_accuracy_pct,attack_success_rate_pct,generated_vs_baseline_accuracy_delta_pct,generated_vs_baseline_cer_delta,generated_vs_baseline_wer_delta
easyocr,320,0.30625,0.096875,0.08125,0.51875,0.6784912743506493,0.8597484329906205,1.73379751758658,1.16875,1.171875,1.60625,0.8740490845959595,0.434375,30.625000000000004,9.6875,8.125,51.87500000000001,-1.5625,0.8740490845959595,0.43437499999999996
tesseract,320,0.1875,0.05625,0.065625,0.475,0.6536576140873016,1.0555005411255411,1.3835294913419913,0.98125,1.446875,1.9,0.32802895021645023,0.453125,18.75,5.625,6.5625,47.5,0.9375,0.3280289502164502,0.453125
ocrspace,320,0.109375,0.034375,0.05625,0.034375,0.8877480158730158,0.9527130681818182,0.9320920138888888,0.915625,0.975,0.9625,-0.02062105429292929,-0.0125,10.9375,3.4375000000000004,5.625,3.4375000000000004,2.1874999999999996,-0.020621054292929375,-0.012499999999999956
trocr,320,0.40625,0.184375,0.103125,0.309375,0.5920569534632034,0.8707309704184704,0.8391561259920636,0.76875,0.95,0.925,-0.031574844426406935,-0.025,40.625,18.4375,10.3125,30.9375,-8.125,-0.03157484442640679,-0.02499999999999991
