engine,samples,clean_accuracy,baseline_accuracy,generated_accuracy,attack_success_rate,clean_cer,baseline_cer,generated_cer,clean_wer,baseline_wer,generated_wer,generated_cer_delta,generated_wer_delta,clean_accuracy_pct,baseline_accuracy_pct,generated_accuracy_pct,attack_success_rate_pct,generated_vs_baseline_accuracy_delta_pct,generated_vs_baseline_cer_delta,generated_vs_baseline_wer_delta
easyocr,320,0.275,0.11875,0.203125,0.509375,0.8979152011183261,0.9040945729617604,1.5305481150793652,1.371875,1.30625,2.38125,0.6264535421176046,1.075,27.500000000000004,11.875,20.3125,50.9375,8.4375,0.6264535421176047,1.0750000000000002
tesseract,320,0.14375,0.09375,0.0875,0.38125,0.7489721996753247,0.911466506583694,0.9426701163419914,1.121875,1.290625,1.45,0.03120360975829726,0.159375,14.374999999999998,9.375,8.75,38.125,-0.625,0.03120360975829739,0.15937500000000004
ocrspace,320,0.090625,0.059375,0.0875,0.028125,0.9090405167748917,0.9398329274891776,0.9186743551587302,0.95625,0.965625,0.953125,-0.021158572330447333,-0.0125,9.0625,5.9375,8.75,2.8125,2.8125,-0.02115857233044738,-0.012499999999999956
trocr,320,0.321875,0.159375,0.28125,0.1875,0.6619523922258297,0.7758712121212121,0.6560049715909091,0.759375,0.85625,0.79375,-0.11986624053030304,-0.0625,32.1875,15.937499999999998,28.125,18.75,12.187500000000002,-0.11986624053030304,-0.0625
